@relation 'merged-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.NumericToNominal-R1,2-weka.filters.unsupervised.attribute.Reorder-R2-last,1'

@attribute pclass {1,2,3}
@attribute sex {male,female}
@attribute age numeric
@attribute sibsp numeric
@attribute parch numeric
@attribute ticket {'A/5 21171','PC 17599','STON/O2. 3101282',113803.0,373450.0,330877.0,17463.0,349909.0,347742.0,237736.0,'PP 9549',113783.0,'A/5. 2151',347082.0,350406.0,248706.0,382652.0,244373.0,345763.0,2649.0,239865.0,248698.0,330923.0,113788.0,347077.0,2631.0,19950.0,330959.0,349216.0,'PC 17601','PC 17569',335677.0,'C.A. 24579','PC 17604',113789.0,2677.0,'A./5. 2152',345764.0,2651.0,7546.0,11668.0,349253.0,'SC/Paris 2123',330958.0,'S.C./A.4. 23567',370371.0,14311.0,2662.0,349237.0,3101295.0,'A/4. 39886','PC 17572',2926.0,113509.0,19947.0,'C.A. 31026',2697.0,'C.A. 34651','CA 2144',2669.0,113572.0,36973.0,347088.0,'PC 17605',2661.0,'C.A. 29395','S.P. 3464',3101281.0,315151.0,'C.A. 33111','S.O.C. 14879',2680.0,1601.0,348123.0,349208.0,374746.0,248738.0,364516.0,345767.0,345779.0,330932.0,113059.0,'SO/C 14885',3101278.0,'W./C. 6608','SOTON/OQ 392086',343275.0,343276.0,347466.0,'W.E.P. 5734','C.A. 2315',364500.0,374910.0,'PC 17754','PC 17759',231919.0,244367.0,349245.0,349215.0,35281.0,7540.0,3101276.0,349207.0,343120.0,312991.0,349249.0,371110.0,110465.0,2665.0,324669.0,4136.0,2627.0,'STON/O 2. 3101294',370369.0,'PC 17558','A4. 54510',27267.0,370372.0,'C 17369',2668.0,347061.0,349241.0,'SOTON/O.Q. 3101307','A/5. 3337',228414.0,'C.A. 29178','SC/PARIS 2133',11752.0,7534.0,'PC 17593',2678.0,347081.0,'STON/O2. 3101279',365222.0,231945.0,'C.A. 33112',350043.0,230080.0,244310.0,'S.O.P. 1166',113776.0,'A.5. 11206','A/5. 851','Fa 265302','PC 17597',35851.0,'SOTON/OQ 392090',315037.0,'CA. 2343',371362.0,'C.A. 33595',347068.0,315093.0,363291.0,113505.0,'PC 17318',111240.0,'STON/O 2. 3101280',17764.0,350404.0,4133.0,'PC 17595',250653.0,LINE,'SC/PARIS 2131',230136.0,315153.0,113767.0,370365.0,111428.0,364849.0,349247.0,234604.0,28424.0,350046.0,'PC 17610',368703.0,4579.0,370370.0,248747.0,345770.0,3101264.0,2628.0,'A/5 3540',347054.0,2699.0,367231.0,112277.0,'SOTON/O.Q. 3101311','F.C.C. 13528','A/5 21174',250646.0,367229.0,35273.0,'STON/O2. 3101283',243847.0,11813.0,'W/C 14208','SOTON/OQ 392089',220367.0,21440.0,349234.0,19943.0,'PP 4348','SW/PP 751','A/5 21173',236171.0,347067.0,237442.0,'C.A. 29566','W./C. 6609',26707.0,'C.A. 31921',28665.0,'SCO/W 1585',367230.0,'W./C. 14263','STON/O 2. 3101275',2694.0,19928.0,347071.0,250649.0,11751.0,244252.0,362316.0,113514.0,'A/5. 3336',370129.0,2650.0,'PC 17585',110152.0,'PC 17755',230433.0,384461.0,110413.0,112059.0,382649.0,'C.A. 17248',347083.0,'PC 17582','PC 17760',113798.0,250644.0,'PC 17596',370375.0,13502.0,347073.0,239853.0,'C.A. 2673',336439.0,347464.0,345778.0,'A/5. 10482',113056.0,349239.0,345774.0,349206.0,237798.0,370373.0,19877.0,11967.0,'SC/Paris 2163',349236.0,349233.0,'PC 17612',2693.0,113781.0,19988.0,9234.0,367226.0,226593.0,'A/5 2466',17421.0,'PC 17758','P/PP 3381','PC 17485',11767.0,'PC 17608',250651.0,349243.0,'F.C.C. 13529',347470.0,29011.0,36928.0,16966.0,'A/5 21172',349219.0,234818.0,345364.0,28551.0,111361.0,113043.0,'PC 17611',349225.0,7598.0,113784.0,248740.0,244361.0,229236.0,248733.0,31418.0,386525.0,'C.A. 37671',315088.0,7267.0,113510.0,2695.0,2647.0,345783.0,237671.0,330931.0,330980.0,'SC/PARIS 2167',2691.0,'SOTON/O.Q. 3101310','C 7076',110813.0,2626.0,14313.0,'PC 17477',11765.0,3101267.0,323951.0,'C 7077',113503.0,2648.0,347069.0,'PC 17757',2653.0,'STON/O 2. 3101293',349227.0,27849.0,367655.0,'SC 1748',113760.0,350034.0,3101277.0,350052.0,350407.0,28403.0,244278.0,240929.0,'STON/O 2. 3101289',341826.0,4137.0,315096.0,28664.0,347064.0,29106.0,312992.0,349222.0,394140.0,'STON/O 2. 3101269',343095.0,28220.0,250652.0,28228.0,345773.0,349254.0,'A/5. 13032',315082.0,347080.0,'A/4. 34244',2003.0,250655.0,364851.0,'SOTON/O.Q. 392078',110564.0,376564.0,'SC/AH 3085','STON/O 2. 3101274',13507.0,'C.A. 18723',345769.0,347076.0,230434.0,65306.0,33638.0,113794.0,2666.0,113786.0,65303.0,113051.0,17453.0,'A/5 2817',349240.0,13509.0,17464.0,'F.C.C. 13531',371060.0,19952.0,364506.0,111320.0,234360.0,'A/S 2816','SOTON/O.Q. 3101306',113792.0,36209.0,323592.0,315089.0,'SC/AH Basle 541',7553.0,31027.0,3460.0,350060.0,3101298.0,239854.0,'A/5 3594',4134.0,11771.0,'A.5. 18509',65304.0,'SOTON/OQ 3101317',113787.0,'PC 17609','A/4 45380',36947.0,'C.A. 6212',350035.0,315086.0,364846.0,330909.0,4135.0,26360.0,111427.0,'C 4001',382651.0,'SOTON/OQ 3101316','PC 17473','PC 17603',349209.0,36967.0,'C.A. 34260',226875.0,349242.0,12749.0,349252.0,2624.0,2700.0,367232.0,'W./C. 14258','PC 17483',3101296.0,29104.0,2641.0,2690.0,315084.0,113050.0,'PC 17761',364498.0,13568.0,'WE/P 5735',2908.0,693.0,'SC/PARIS 2146',244358.0,330979.0,2620.0,347085.0,113807.0,11755.0,345572.0,372622.0,349251.0,218629.0,'SOTON/OQ 392082','SOTON/O.Q. 392087','A/4 48871',349205.0,2686.0,350417.0,'S.W./PP 752',11769.0,'PC 17474',14312.0,'A/4. 20589',358585.0,243880.0,2689.0,'STON/O 2. 3101286',237789.0,13049.0,3411.0,237565.0,13567.0,14973.0,'A./5. 3235','STON/O 2. 3101273','A/5 3902',364848.0,'SC/AH 29037',248727.0,2664.0,349214.0,113796.0,364511.0,111426.0,349910.0,349246.0,113804.0,'SOTON/O.Q. 3101305',370377.0,364512.0,220845.0,31028.0,2659.0,11753.0,350029.0,54636.0,36963.0,219533.0,349224.0,334912.0,27042.0,347743.0,13214.0,112052.0,237668.0,'STON/O 2. 3101292',350050.0,349231.0,13213.0,'S.O./P.P. 751','CA. 2314',349221.0,8475.0,330919.0,365226.0,349223.0,29751.0,2623.0,5727.0,349210.0,'STON/O 2. 3101285',234686.0,312993.0,'A/5 3536',19996.0,29750.0,'F.C. 12750','C.A. 24580',244270.0,239856.0,349912.0,342826.0,4138.0,330935.0,6563.0,349228.0,350036.0,24160.0,17474.0,349256.0,2672.0,113800.0,248731.0,363592.0,35852.0,348121.0,'PC 17475',36864.0,350025.0,223596.0,'PC 17476','PC 17482',113028.0,7545.0,250647.0,348124.0,34218.0,36568.0,347062.0,350048.0,12233.0,250643.0,113806.0,315094.0,36866.0,236853.0,'STON/O2. 3101271',239855.0,28425.0,233639.0,349201.0,349218.0,16988.0,376566.0,'STON/O 2. 3101288',250648.0,113773.0,335097.0,29103.0,392096.0,345780.0,349204.0,350042.0,29108.0,363294.0,'SOTON/O2 3101272',2663.0,347074.0,112379.0,364850.0,8471.0,345781.0,350047.0,'S.O./P.P. 3',2674.0,29105.0,347078.0,383121.0,36865.0,2687.0,113501.0,'W./C. 6607','SOTON/O.Q. 3101312',374887.0,3101265.0,12460.0,'PC 17600',349203.0,28213.0,17465.0,349244.0,2685.0,2625.0,347089.0,347063.0,112050.0,347087.0,248723.0,3474.0,28206.0,364499.0,112058.0,'STON/O2. 3101290','S.C./PARIS 2079','C 7075',315098.0,19972.0,368323.0,367228.0,2671.0,347468.0,2223.0,'PC 17756',315097.0,392092.0,11774.0,'SOTON/O2 3101287',2683.0,315090.0,'C.A. 5547',349213.0,347060.0,'PC 17592',392091.0,113055.0,2629.0,350026.0,28134.0,17466.0,233866.0,236852.0,'SC/PARIS 2149','PC 17590',345777.0,349248.0,695.0,345765.0,2667.0,349212.0,349217.0,349257.0,7552.0,'C.A./SOTON 34068','SOTON/OQ 392076',211536.0,112053.0,111369.0,370376.0,330911.0,363272.0,240276.0,315154.0,7538.0,330972.0,2657.0,349220.0,694.0,21228.0,24065.0,233734.0,2692.0,'STON/O2. 3101270',2696.0,'C 17368','PC 17598',2698.0,113054.0,'C.A. 31029',13236.0,2682.0,342712.0,315087.0,345768.0,113778.0,'SOTON/O.Q. 3101263',237249.0,'STON/O 2. 3101291','PC 17594',370374.0,13695.0,'SC/PARIS 2168','SC/A.3 2861',349230.0,348122.0,349232.0,237216.0,347090.0,334914.0,'F.C.C. 13534',330963.0,2543.0,382653.0,349211.0,3101297.0,'PC 17562',359306.0,11770.0,248744.0,368702.0,19924.0,349238.0,240261.0,2660.0,330844.0,'A/4 31416',364856.0,347072.0,345498.0,376563.0,13905.0,350033.0,'STON/O 2. 3101268',347471.0,'A./5. 3338',11778.0,365235.0,347070.0,330920.0,383162.0,3410.0,248734.0,237734.0,330968.0,'PC 17531',329944.0,2681.0,13050.0,367227.0,392095.0,368783.0,350045.0,211535.0,342441.0,'STON/OQ. 369943',113780.0,2621.0,349226.0,350409.0,2656.0,248659.0,'SOTON/OQ 392083',17475.0,'SC/A4 23568',113791.0,349255.0,3701.0,350405.0,'S.O./P.P. 752',347469.0,110489.0,'SOTON/O.Q. 3101315',335432.0,220844.0,343271.0,237393.0,'PC 17591',17770.0,7548.0,'S.O./P.P. 251',2670.0,2673.0,233478.0,7935.0,239059.0,'S.O./P.P. 2','A/4 48873',28221.0,111163.0,235509.0,347465.0,347066.0,'C.A. 31030',65305.0,'C.A. 34050','F.C. 12998',9232.0,28034.0,'PC 17613',349250.0,'SOTON/O.Q. 3101308',347091.0,113038.0,330924.0,32302.0,'SC/PARIS 2148',342684.0,'W./C. 14266',350053.0,'PC 17606',350054.0,370368.0,242963.0,113795.0,3101266.0,330971.0,350416.0,2679.0,250650.0,112377.0,3470.0,'SOTON/O2 3101284',13508.0,7266.0,345775.0,'C.A. 42795','AQ/4 3130',363611.0,28404.0,345501.0,350410.0,'C.A. 34644',349235.0,112051.0,'C.A. 49867','A. 2. 39186',315095.0,368573.0,2676.0,'SC 14888','CA 31352','W./C. 14260',315085.0,364859.0,'A/5 21175','SOTON/O.Q. 3101314',2655.0,'A/5 1478','PC 17607',382650.0,2652.0,345771.0,349202.0,113801.0,347467.0,347079.0,237735.0,315092.0,383123.0,112901.0,315091.0,2658.0,'LP 1588',368364.0,'AQ/3. 30631',28004.0,350408.0,347075.0,2654.0,244368.0,113790.0,'SOTON/O.Q. 3101309',236854.0,'PC 17580',2684.0,349229.0,110469.0,244360.0,2675.0,2622.0,'C.A. 15185',350403.0,348125.0,237670.0,2688.0,248726.0,'F.C.C. 13540',113044.0,1222.0,368402.0,315083.0,112378.0,'SC/PARIS 2147',28133.0,248746.0,315152.0,29107.0,680.0,366713.0,330910.0,'SC/PARIS 2159',349911.0,244346.0,364858.0,'C.A. 30769',371109.0,347065.0,21332.0,17765.0,'SC/PARIS 2166',28666.0,334915.0,365237.0,347086.0,'A.5. 3236','SOTON/O.Q. 3101262',359309.0}
@attribute fare numeric
@attribute cabin {C85,C123,E46,G6,C103,D56,A6,'C23 C25 C27',B78,D33,B30,C52,B28,C83,F33,'F G73',E31,A5,'D10 D12',D26,C110,'B58 B60',E101,'F E69',D47,B86,F2,C2,E33,B19,A7,C49,F4,A32,B4,B80,A31,D36,D15,C93,C78,D35,C87,B77,E67,B94,C125,C99,C118,D7,A19,B49,D,'C22 C26',C106,C65,E36,C54,'B57 B59 B63 B66',C7,E34,C32,B18,C124,C91,E40,T,C128,D37,B35,E50,C82,'B96 B98',E10,E44,A34,C104,C111,C92,E38,D21,E12,E63,A14,B37,C30,D20,B79,E25,D46,B73,C95,B38,B39,B22,C86,C70,A16,C101,C68,A10,E68,B41,A20,D19,D50,D9,A23,B50,A26,D48,E58,C126,B71,'B51 B53 B55',D49,B5,B20,'F G63','C62 C64',E24,C90,C45,E8,B101,D45,C46,D30,E121,D11,E77,F38,B3,D6,'B82 B84',D17,A36,B102,B69,E49,C47,D28,E17,A24,C50,B42,C148,B45,B36,A21,D34,A9,C31,B61,C53,D43,C130,C132,'C55 C57',C116,F,A29,C6,C28,C51,C97,D22,B10,E45,E52,A11,B11,C80,C89,'F E46',B26,'F E57',A18,E60,'E39 E41','B52 B54 B56',C39,B24,D40,D38,C105}
@attribute embarked {S,C,Q}
@attribute survived {0,1}

@data
1,female,55,0,0,112377.0,27.7208,?,C,?
2,female,45,0,2,237789.0,30,?,S,?
1,male,45,1,1,16966.0,134.5,E34,C,?
3,male,?,0,0,3470.0,7.8875,?,S,?
3,male,?,1,2,'W./C. 6607',23.45,?,S,?
1,male,41,1,0,17464.0,51.8625,D21,S,?
2,female,22,0,0,'F.C.C. 13534',21,?,S,?
2,male,42,1,1,28220.0,32.5,?,S,?
2,female,29,1,0,26707.0,26,?,S,?
3,female,?,1,0,2660.0,14.4542,?,C,?
2,female,0.92,1,2,'C.A. 34651',27.75,?,S,?
3,male,20,0,0,'SOTON/O2 3101284',7.925,?,S,?
1,male,27,1,0,13508.0,136.7792,C89,C,?
3,male,24,0,0,7266.0,9.325,?,S,?
3,male,32.5,0,0,345775.0,9.5,?,S,?
3,male,?,0,0,'C.A. 42795',7.55,?,S,?
3,male,?,0,0,'AQ/4 3130',7.75,?,Q,?
3,male,28,0,0,363611.0,8.05,?,S,?
2,female,19,0,0,28404.0,13,?,S,?
3,male,21,0,0,345501.0,7.775,?,S,?
3,male,36.5,1,0,345572.0,17.4,?,S,?
3,male,21,0,0,350410.0,7.8542,?,S,?
2,female,29,0,2,29103.0,23,?,S,?
3,female,1,1,1,350405.0,12.1833,?,S,?
2,male,30,0,0,'C.A. 34644',12.7375,?,C,?
3,male,?,0,0,349235.0,7.8958,?,S,?
1,male,?,0,0,112051.0,0,?,S,?
3,male,?,0,0,'C.A. 49867',7.55,?,S,?
3,female,?,0,0,'A. 2. 39186',8.05,?,S,?
3,male,17,0,0,315095.0,8.6625,?,S,?
1,male,46,0,0,13050.0,75.2417,C6,C,?
3,male,?,0,0,368573.0,7.75,?,Q,?
1,female,26,1,0,13508.0,136.7792,C89,C,?
3,female,?,1,0,370371.0,15.5,?,Q,?
3,male,?,0,0,2676.0,7.225,?,C,?
2,female,20,1,0,236853.0,26,?,S,?
2,male,28,0,0,'SC 14888',10.5,?,S,?
2,male,40,1,0,2926.0,26,?,S,?
2,male,30,1,0,'CA 31352',21,?,S,?
2,male,22,0,0,'W./C. 14260',10.5,?,S,?
3,female,23,0,0,315085.0,8.6625,?,S,?
3,male,0.75,1,1,'SOTON/O.Q. 3101315',13.775,?,S,?
3,female,?,0,0,364859.0,7.75,?,Q,?
3,female,9,1,1,2650.0,15.2458,?,C,?
3,female,2,1,1,370129.0,20.2125,?,S,?
3,male,36,0,0,'A/5 21175',7.25,?,S,?
3,male,?,0,0,'SOTON/O.Q. 3101314',7.25,?,S,?
1,male,24,1,0,21228.0,82.2667,B45,S,?
3,male,?,0,0,2655.0,7.2292,'F E46',C,?
3,male,?,0,0,'A/5 1478',8.05,?,S,?
1,male,?,0,0,'PC 17607',39.6,?,S,?
3,female,30,0,0,382650.0,6.95,?,Q,?
3,male,?,0,0,2652.0,7.2292,?,C,?
1,male,53,1,1,33638.0,81.8583,A34,S,?
3,male,36,0,0,345771.0,9.5,?,S,?
3,male,26,0,0,349202.0,7.8958,?,S,?
2,female,1,1,2,'SC/Paris 2123',41.5792,?,C,?
3,male,?,2,0,2662.0,21.6792,?,C,?
1,male,30,0,0,113801.0,45.5,?,S,?
3,male,29,0,0,347467.0,7.8542,?,S,?
3,male,32,0,0,347079.0,7.775,?,S,?
2,male,?,0,0,237735.0,15.0458,D,C,?
2,male,43,0,1,'S.O./P.P. 2',21,?,S,?
3,male,24,0,0,315092.0,8.6625,?,S,?
3,female,?,0,0,383123.0,7.75,?,Q,?
1,female,64,1,1,112901.0,26.55,B26,S,?
1,male,30,1,2,113781.0,151.55,'C22 C26',S,?
3,male,0.83,0,1,392091.0,9.35,?,S,?
1,male,55,1,1,12749.0,93.5,B69,S,?
3,female,45,1,0,350026.0,14.1083,?,S,?
3,male,18,0,0,315091.0,8.6625,?,S,?
3,male,22,0,0,2658.0,7.225,?,C,?
3,male,?,0,0,'LP 1588',7.575,?,S,?
3,female,37,0,0,368364.0,7.75,?,Q,?
1,female,55,0,0,'PC 17760',135.6333,C32,C,?
3,female,17,0,0,'AQ/3. 30631',7.7333,?,Q,?
1,male,57,1,0,'PC 17569',146.5208,B78,C,?
2,male,19,0,0,28004.0,10.5,?,S,?
3,male,27,0,0,350408.0,7.8542,?,S,?
2,male,22,2,0,'C.A. 31029',31.5,?,S,?
3,male,26,0,0,347075.0,7.775,?,S,?
3,male,25,0,0,2654.0,7.2292,'F E57',C,?
2,male,26,0,0,244368.0,13,F2,S,?
1,male,33,0,0,113790.0,26.55,?,S,?
1,female,39,0,0,24160.0,211.3375,?,S,?
3,male,23,0,0,'SOTON/O.Q. 3101309',7.05,?,S,?
2,female,12,2,1,230136.0,39,F4,S,?
1,male,46,0,0,'PC 17585',79.2,?,C,?
2,male,29,1,0,2003.0,26,?,S,?
2,male,21,0,0,236854.0,13,?,S,?
2,female,48,0,2,'C.A. 33112',36.75,?,S,?
1,male,39,0,0,'PC 17580',29.7,A18,C,?
3,male,?,0,0,2684.0,7.225,?,C,?
3,female,19,1,1,2653.0,15.7417,?,C,?
3,male,27,0,0,349229.0,7.8958,?,S,?
1,male,30,0,0,110469.0,26,C106,S,?
2,male,32,0,0,244360.0,13,?,S,?
3,male,39,0,2,2675.0,7.2292,?,C,?
2,male,25,0,0,'C.A. 31029',31.5,?,S,?
3,male,?,0,0,2622.0,7.2292,?,C,?
2,male,18,0,0,'C.A. 15185',10.5,?,S,?
3,male,32,0,0,350403.0,7.5792,?,S,?
3,male,?,1,9,'CA. 2343',69.55,?,S,?
1,female,58,0,1,'PC 17755',512.3292,'B51 B53 B55',C,?
3,male,?,1,1,'A/5. 851',14.5,?,S,?
3,female,16,0,0,348125.0,7.65,?,S,?
2,male,26,0,0,237670.0,13,?,S,?
3,female,38,0,0,2688.0,7.2292,?,C,?
2,male,24,0,0,248726.0,13.5,?,S,?
2,female,31,0,0,'F.C.C. 13528',21,?,S,?
1,female,45,0,1,'PC 17759',63.3583,'D10 D12',C,?
2,male,25,0,0,'F.C.C. 13540',10.5,?,S,?
2,male,18,0,0,'S.O.C. 14879',73.5,?,S,?
2,male,49,1,2,220845.0,65,?,S,?
3,female,0.17,1,2,'C.A. 2315',20.575,?,S,?
1,male,50,0,0,113044.0,26,E60,S,?
1,female,59,2,0,11769.0,51.4792,C101,S,?
3,male,?,0,0,1222.0,7.8792,?,S,?
3,male,?,0,0,368402.0,7.75,?,Q,?
3,female,30,1,0,349910.0,15.55,?,S,?
3,male,14.5,8,2,'CA. 2343',69.55,?,S,?
2,female,24,1,1,'S.C./PARIS 2079',37.0042,?,C,?
2,female,31,0,0,'CA 31352',21,?,S,?
3,male,27,0,0,315083.0,8.6625,?,S,?
1,female,25,1,0,11765.0,55.4417,E50,C,?
3,female,?,1,9,'CA. 2343',69.55,?,S,?
3,male,?,1,0,2689.0,14.4583,?,C,?
3,female,22,0,0,3101295.0,39.6875,?,S,?
1,female,45,0,1,112378.0,59.4,?,C,?
2,male,29,0,0,'SC/PARIS 2147',13.8583,?,C,?
2,male,21,1,0,28133.0,11.5,?,S,?
1,female,31,0,0,16966.0,134.5,'E39 E41',C,?
1,male,49,0,0,112058.0,0,'B52 B54 B56',S,?
2,male,44,0,0,248746.0,13,?,S,?
1,female,54,1,1,33638.0,81.8583,A34,S,?
1,female,45,0,0,'PC 17608',262.375,?,C,?
3,female,22,2,0,315152.0,8.6625,?,S,?
2,male,21,0,0,29107.0,11.5,?,S,?
1,male,55,0,0,680.0,50,C39,S,?
3,male,5,4,2,347077.0,31.3875,?,S,?
3,male,?,0,0,366713.0,7.75,?,Q,?
3,male,26,0,0,330910.0,7.8792,?,Q,?
3,female,?,0,0,364498.0,14.5,?,S,?
3,female,19,1,0,376566.0,16.1,?,S,?
2,male,?,0,0,'SC/PARIS 2159',12.875,?,S,?
2,female,24,1,2,220845.0,65,?,S,?
3,male,24,0,0,349911.0,7.775,?,S,?
2,male,57,0,0,244346.0,13,?,S,?
3,male,21,0,0,364858.0,7.75,?,Q,?
3,male,6,3,1,349909.0,21.075,?,S,?
1,male,23,0,0,12749.0,93.5,B24,S,?
1,female,51,0,1,'PC 17592',39.4,D28,S,?
3,male,13,0,2,'C.A. 2673',20.25,?,S,?
2,male,47,0,0,'C.A. 30769',10.5,?,S,?
3,male,29,3,1,315153.0,22.025,?,S,?
1,female,18,1,0,13695.0,60,C31,S,?
3,male,24,0,0,371109.0,7.25,?,Q,?
1,female,48,1,1,13567.0,79.2,B41,C,?
3,male,22,0,0,347065.0,7.775,?,S,?
3,male,31,0,0,21332.0,7.7333,?,Q,?
1,female,30,0,0,36928.0,164.8667,C7,S,?
2,male,38,1,0,28664.0,21,?,S,?
1,female,22,0,1,112378.0,59.4,?,C,?
1,male,17,0,0,113059.0,47.1,?,S,?
1,male,43,1,0,17765.0,27.7208,D40,C,?
2,male,20,0,0,'SC/PARIS 2166',13.8625,D38,C,?
2,male,23,1,0,28666.0,10.5,?,S,?
1,male,50,1,1,113503.0,211.5,C80,C,?
3,female,?,0,0,334915.0,7.7208,?,Q,?
3,female,3,1,1,'SOTON/O.Q. 3101315',13.775,?,S,?
3,female,?,0,0,365237.0,7.75,?,Q,?
1,female,37,1,0,19928.0,90,C78,Q,?
3,female,28,0,0,347086.0,7.775,?,S,?
3,male,?,0,0,'A.5. 3236',8.05,?,S,?
1,female,39,0,0,'PC 17758',108.9,C105,C,?
3,male,38.5,0,0,'SOTON/O.Q. 3101262',7.25,?,S,?
3,male,?,0,0,359309.0,8.05,?,S,?
3,male,?,1,1,2668.0,22.3583,?,C,?
